IDCode,Year,Month,CO_MEAN,NO2_MEAN,PM2_5_MEAN,PM10_MEAN,SO2_MEAN,LSTA_MEAN,LSTT_MEAN,NTL_MEAN,O3_MEAN,PM1_MEAN
5438488,2019,8,0.699999988079,20.3999996185,19.6000003815,37.6000022888,8.4000005722,29680.6451613,29640.0322581,7.19500005245,125.099998474,10.8000001907
5438488,2019,9,0.810000002384,28.3000011444,27.0,55.0,10.4000005722,29306.6666667,29377.1666667,8.32499992847,151.100006104,15.4000005722
5438488,2019,10,0.919999957085,41.6000022888,45.7000007629,95.0999984741,11.9000005722,28622.5806452,28716.7741935,7.9975001812,111.400001526,26.5
5438488,2019,11,0.849999964237,44.4000015259,42.5,92.4000015259,12.6000003815,28030.0,27977.9,7.11749994755,80.5999984741,24.2000007629
5438488,2019,12,1.12000000477,50.4000015259,64.7000045776,95.5999984741,13.3000001907,27470.9677419,27510.0645161,8.77749991417,56.5,36.9000015259
5438488,2020,1,1.13999998569,40.2999992371,73.90000152589998,95.9000015259,13.3000001907,27732.2580645,27244.0,8.65250003338,70.9000015259,40.0
5438488,2020,2,0.799999952316,23.1000003815,46.0,65.7000045776,9.10000038147,27875.862069,27575.9310345,6.70500004292,88.90000152589998,26.3999996185
5438488,2020,3,0.729999959469,32.4000015259,37.1000022888,74.5,10.8000001907,28151.6129032,27923.3548387,9.00250017643,106.800003052,21.1000003815
5438488,2020,4,0.77999997139,36.4000015259,40.7999992371,83.0999984741,13.0,28410.0,28310.9333333,11.1900000572,135.5,23.5
5438488,2020,5,0.669999957085,26.5,31.3999996185,61.7999992371,9.69999980927,29129.0322581,29018.0645161,11.7649998665,146.900009155,18.1000003815
5438488,2020,6,0.680000007153,21.5,26.3999996185,47.7999992371,7.7000002861,29476.6666667,29295.5333333,9.60250020027,146.699996948,146.699996948
5438488,2020,7,0.659999966621,18.7000007629,20.8000011444,37.1000022888,7.30000019073,29629.0322581,29448.2903226,11.1200000048,134.0,
5438488,2020,8,0.75,18.8000011444,22.1000003815,37.6000022888,7.40000009537,29993.5483871,29786.5806452,9.56749999523,124.5,12.9000005722
5438488,2020,9,0.789999961853,27.8999996185,24.8000011444,49.6000022888,10.0,29383.3333333,29320.4333333,9.87999987602,150.100006104,14.1000003815
5438488,2020,10,0.789999961853,40.0,34.9000015259,71.0999984741,11.1999998093,28754.8387097,28540.3225806,13.1625001431,104.800003052,20.3000011444
5438488,2020,11,0.879999995232,41.1000022888,39.6000022888,74.40000152589998,11.4000005722,28283.3333333,28088.3333333,10.0374997854,79.90000152589998,22.6000003815
5438488,2020,12,1.18999993801,55.6000022888,65.5999984741,99.7000045776,16.5,27693.5483871,27300.6451613,18.852499485,60.7000007629,37.7000007629
5438488,2021,1,1.36000001431,51.6000022888,68.0999984741,125.400001526,16.0,27435.483871,27318.0,16.3524999619,62.2999992371,37.7000007629
5438488,2021,2,0.969999969006,31.6000003815,45.2000007629,80.3000030518,12.0,27657.1428571,27609.1428571,14.8374998569,94.4000015259,25.0
5438488,2021,3,0.930000007153,39.7999992371,50.7999992371,133.800003052,12.1999998093,28032.2580645,27949.8064516,13.8624999523,105.700004578,28.3000011444
5438488,2021,4,0.729999959469,30.0,32.0,82.2000045776,10.1000003815,28366.6666667,28403.2333333,13.9350001812,120.200004578,17.7000007629
5438488,2021,5,0.719999969006,23.7000007629,30.5,85.8000030518,9.10000038147,28945.1612903,28968.3225806,14.3450000286,141.5,16.6000003815
5438488,2021,6,0.709999978542,21.6000003815,23.3000011444,47.0,7.90000009537,29610.0,29459.2,15.1150000095,149.900009155,13.4000005722
5438488,2021,7,0.589999973774,13.1000003815,15.1000003815,27.6000003815,6.2000002861,29741.9354839,29653.8709677,11.6624996662,110.300003052,8.60000038147
5438488,2021,8,0.729999959469,16.7000007629,18.5,32.9000015259,6.90000009537,29719.3548387,29642.2580645,13.0424997807,133.300003052,10.6000003815
5438488,2021,9,0.699999988079,17.8999996185,16.8999996185,31.3999996185,7.30000019073,29476.6666667,29419.5,14.6574995518,138.300003052,9.30000019073
5438488,2021,10,0.839999973774,33.9000015259,32.7000007629,61.4000015259,10.1999998093,28745.1612903,28639.5483871,10.682500124,114.900001526,19.1000003815
5438488,2021,11,0.879999995232,44.6000022888,46.2000007629,87.2000045776,11.9000005722,28036.6666667,27977.3666667,11.532500267,91.2000045776,27.1000003815
5438488,2021,12,1.03999996185,51.1000022888,57.0,99.5999984741,14.4000005722,27551.6129032,27517.2580645,14.7225000858,65.8000030518,32.4000015259
5438488,2022,1,1.23000001907,38.6000022888,60.0,89.7000045776,13.5,27005.4193548,27124.2258065,14.8699996471,72.0999984741,
5438488,2022,2,0.979999959469,33.4000015259,45.7999992371,71.5999984741,12.4000005722,27137.2857143,27159.1785714,13.3100001812,92.0999984741,
5438488,2022,3,0.919999957085,33.2999992371,38.0,78.40000152589998,10.1999998093,27880.1935484,27960.6129032,13.6050000191,106.5,
5438488,2022,4,0.839999973774,26.3999996185,34.9000015259,72.90000152589998,10.8000001907,28381.6,28577.5,15.154999733,135.900009155,
5438488,2022,5,0.740000009537,24.7000007629,27.5,62.5,12.4000005722,28927.2258065,29121.8387097,13.5450000763,157.900009155,
5438488,2022,6,0.769999980927,17.0,22.6000003815,41.6000022888,8.10000038147,29537.8,29566.9,13.995000124,144.600006104,
5438488,2022,7,0.769999980927,15.3000001907,18.3999996185,31.3999996185,6.80000019073,29741.9032258,29723.7741935,11.4000000954,120.200004578,
5438488,2022,8,0.829999983311,18.6000003815,18.5,34.5,7.30000019073,29645.2903226,29635.7419355,11.1700000763,131.600006104,
5438488,2022,9,0.919999957085,23.8000011444,17.3999996185,39.7999992371,10.5,29182.4333333,29216.5666667,10.5074996948,139.0,
5438488,2022,10,0.909999966621,32.2000007629,21.1000003815,46.7000007629,10.1000003815,28474.4516129,28530.8064516,12.1449999809,110.700004578,
5438488,2022,11,0.949999988079,33.6000022888,32.0,57.6000022888,10.0,28212.6,28256.2333333,10.620000124,86.40000152589998,
5438488,2022,12,1.24000000954,47.1000022888,54.2000007629,99.5999984741,15.6000003815,27020.516129,27128.3225806,9.8100001812,61.1000022888,
5440896,2019,1,,,,,,27596.7741935,27389.8709677,4.69181819396,,
5440896,2019,2,,,,,,27660.7142857,27465.7678571,12.0709091967,,
5440896,2019,3,,,,,,28012.9032258,27950.3870968,12.9836362925,,
5440896,2019,4,,,,,,28491.6666667,28438.15,11.2054545446,,
5440896,2019,5,,,,,,29004.8387097,28983.5,16.4218179746,,
5440896,2019,6,,,,,,29445.0,29355.3166667,13.3154545481,,
5440896,2019,7,,,,,,29854.8387097,29618.483871,9.87727262757,,
5440896,2019,8,,,,,,29959.6774194,29649.3225806,14.1890909672,,
5440896,2019,9,,,,,,29618.3333333,29387.4333333,15.4127271392,,
5440896,2019,10,,,,,,29030.6451613,28754.8225806,13.4600000598,,
5440896,2019,11,,,,,,28440.0,28315.0833333,13.2472728816,,
5440896,2019,12,,,,,,27808.0645161,27615.2096774,13.6663635427,,
5440896,2020,1,,,,,,27714.516129,27430.7580645,11.7254547423,,
5440896,2020,2,,,,,,27712.0689655,27557.7413793,11.0163635991,,
5440896,2020,3,,,,,,28066.1290323,27991.5483871,14.3409089392,,
5440896,2020,4,,,,,,28330.0,28292.1,15.1463636052,,
5440896,2020,5,,,,,,29095.1612903,28997.6612903,11.8981818936,,
5440896,2020,6,,,,,,29585.0,29494.2166667,13.136363658,,
5440896,2020,7,,,,,,29819.3548387,29575.7741935,15.1172726371,,
5440896,2020,8,,,,,,30211.2903226,29946.2580645,13.892727375,,
5440896,2020,9,,,,,,29581.6666667,29306.05,15.9845457944,,
5440896,2020,10,,,,,,28964.516129,28703.7258065,12.515454509,,
5440896,2020,11,,,,,,28511.6666667,28362.3666667,11.3654544462,,
5440896,2020,12,,,,,,27667.7419355,27419.2096774,13.704545693,,
5440896,2021,1,,,,,,27591.9354839,27361.9193548,13.8009090424,,
5440896,2021,2,,,,,,27782.1428571,27785.6071429,16.271818161,,
5440896,2021,3,,,,,,27979.0322581,27960.6774194,13.1600001942,,
5440896,2021,4,,,,,,28338.3333333,28382.05,14.7900001136,,
5440896,2021,5,,,,,,29070.9677419,29035.4032258,13.2563636086,,
5440896,2021,6,,,,,,29663.3333333,29539.45,17.0054546053,,
5440896,2021,7,,,,,,29990.3225806,29778.1129032,12.456363743,,
5440896,2021,8,,,,,,30001.6129032,29538.0,12.4809090441,,
5440896,2021,9,,,,,,29803.3333333,29543.7166667,9.65090918541,,
5440896,2021,10,,,,,,29146.7741935,28882.1612903,8.57454549183,,
5440896,2021,11,,,,,,28293.3333333,28128.65,15.4790909074,,
5440896,2021,12,,,,,,27738.7096774,27546.0806452,14.6499996836,,
5440896,2022,1,,,,,,27345.3225806,27357.483871,11.4727271687,,
5440896,2022,2,,,,,,27338.9821429,27344.6964286,14.8018181541,,
5440896,2022,3,,,,,,27997.1290323,27975.0967742,13.3900000399,,
5440896,2022,4,,,,,,28472.8,28512.45,10.5254547813,,
5440896,2022,5,,,,,,28938.2903226,29007.4032258,13.1781816266,,
5440896,2022,6,,,,,,29495.65,29475.8666667,12.836363619,,
5440896,2022,7,,,,,,29785.3064516,29745.516129,15.0736361634,,
5440896,2022,8,,,,,,29771.6612903,29783.8870968,13.5927274227,,
5440896,2022,9,,,,,,29296.2166667,29357.1166667,12.578181917,,
5440896,2022,10,,,,,,28749.7903226,28775.5483871,14.1163636554,,
5440896,2022,11,,,,,,28435.1,28475.4166667,12.7009092786,,
5440896,2022,12,,,,,,27377.0645161,27390.8548387,11.6054544015,,
5446499,2019,1,1.39999997616,57.7000007629,87.40000152589998,134.0,18.5,27077.4193548,27176.1290323,13.4599997997,61.7999992371,49.2999992371
5446499,2019,2,1.25,40.4000015259,78.5,117.200004578,14.4000005722,27239.2857143,27198.8928571,13.3900001049,88.90000152589998,43.5
5446499,2019,3,0.849999964237,43.1000022888,53.4000015259,103.0,14.0,27732.2580645,27805.9677419,10.8300001621,117.800003052,30.3999996185
5446499,2019,4,0.699999988079,29.3999996185,38.2999992371,73.90000152589998,10.6000003815,28340.0,28274.9333333,11.2674998045,126.5,21.8000011444
5446499,2019,5,0.699999988079,31.5,33.2000007629,76.5,12.4000005722,28990.3225806,28988.1612903,13.3499999046,157.600006104,19.0
5446499,2019,6,0.699999988079,22.5,30.1000003815,53.0,9.0,29360.0,29419.2333333,15.9825003147,159.0,17.3999996185
5446499,2019,7,0.759999990463,20.7000007629,31.3000011444,53.1000022888,8.10000038147,29658.0645161,29654.9032258,12.8100004196,142.300003052,18.5
5446499,2019,8,0.709999978542,20.3000011444,19.6000003815,37.5,8.60000038147,29609.6774194,29618.7741935,14.6299997568,124.800003052,10.8000001907
5446499,2019,9,0.819999992847,28.6000003815,27.0,54.5,10.6999998093,29270.0,29335.0,15.5374996662,150.5,15.3000001907
