plant_id,name_prod,lon,lat,Plant_CO_MEAN,Plant_NO2_MEAN,Plant_SO2_MEAN,Plant_O3_MEAN,Plant_PM10_MEAN,Plant_PM2_5_MEAN,Plant_LSTT_MEAN,Plant_LSTA_MEAN,Plant_NTL_MEAN,year,month
64,济源钢厂,112.553774,35.086396,0.0511425206411328,7.05800826419815e-05,4.437532669638993e-06,0.1349594342969355,0.5710530500332126,71.09109034097165,311.99072294909826,297.67709507914213,4.0733258091470645,2019,7
67,海城恒盛,122.83646,41.056042,0.0574811649147933,7.918655297450365e-05,5.683000608320726e-05,0.1441060172155325,0.6165648521793031,53.154639800823134,305.5039234238723,295.7162205886236,3.226104102210172,2019,7
68,涟钢,111.967343,27.747782,0.0400889754371673,4.098409584125294e-05,-1.99270743414095e-05,0.1274337681355865,0.5204576942528182,42.20376581542951,306.744865099492,298.6558512966705,5.263282263392149,2019,7
69,淮钢特钢,118.988442,33.566039,0.0484532937193986,6.554473021403984e-05,-3.6246652280545344e-05,0.1361680463338449,1.2404230876615865,39.65692364054858,306.2015548121415,297.255517920176,12.43085930397799,2019,7
70,港陆钢铁,118.073913,40.183913,0.059602634323118,7.387547405370362e-05,0.0001803654360837,0.1429454246426357,0.6138924723589946,63.83366013551495,306.322614104001,296.43209186236373,1.5508252151259994,2019,7
71,湖北新冶,115.125838,30.204603,0.0441843787733332,5.998236905114379e-05,3.0508495844100577e-05,0.1306056600360555,0.5303278419368138,110.8690028672754,304.60841800541624,298.65285233223125,3.894635133136121,2019,7
72,潍坊特钢,119.238427,36.644469,0.0541520029153218,8.054002869230839e-05,5.161689421817357e-05,0.1407549297706405,0.7357317280215802,50.84515564135472,312.44377968011526,296.7438701080546,7.52157011987298,2019,7
73,玉溪仙福,102.186364,24.012309,0.0298510042627528,1.6785244589736403e-05,-5.296974188959679e-05,0.1231557795023945,0.1819738303096043,8.652629618558656,303.62568666227224,292.8252550218844,0.5988150139326074,2019,7
74,玉溪玉昆集团,102.543682,24.465884,0.0292134109602142,2.8933099991078337e-05,1.0143045271217176e-05,0.1228126275121762,0.587146167112967,12.893438795778952,294.70683007553265,289.1722675011683,1.7000105601229698,2019,7
75,瑞丰钢铁,118.272056,39.497472,0.063663454900871,0.0001101153834911,8.793273965443888e-05,0.1428023303894435,0.8024136375436774,80.25715510603155,307.5906606345982,295.98724322109945,2.180705661384366,2019,7
76,甘肃兰鑫钢铁,103.933888,36.510351,0.0286050146011272,3.777113923026052e-05,0.0001042414753709,0.1303164731873463,0.3040499072307333,55.62900540212468,308.8582082726785,288.4293278214556,0.6844695218520509,2019,7
