,IDCode,Year,Month,CO_MEAN,NO2_MEAN,PM2_5_MEAN,PM10_MEAN,SO2_MEAN,LSTA_MEAN,LSTT_MEAN,NTL_MEAN,O3_MEAN,GridProd_Steel_tot,GridProd_Iron_tot,Polygon_ID,Centroid_Long,Centroid_Lat
15950,5285051,2021,2,0.789999961853,25.3999996185,40.5,60.9000015259,7.5,28028.5714286,28081.7857143,10.0883334478,87.40000152589998,2.061786936923175,1.653405447213047,1580638,118.47947260079918,31.49958962169798
15951,5285051,2021,3,0.789999961853,36.0,39.2999992371,73.0,8.5,28338.7096774,28331.9354839,11.6483331521,92.5999984741,2.029411770145042,1.829480915655523,1580638,118.47947260079918,31.49958962169798
15952,5285051,2021,4,0.740000009537,33.1000022888,30.8999996185,63.2000007629,8.5,28723.3333333,28732.9666667,7.93666664759,111.300003052,2.377586809355485,1.921494547551267,1580638,118.47947260079918,31.49958962169798
15953,5285051,2021,5,0.839999973774,28.8999996185,27.3999996185,57.1000022888,8.4000005722,29593.5483871,29442.9032258,9.67500011126,131.0,2.136761007356745,1.925470445225775,1580638,118.47947260079918,31.49958962169798
15954,5285051,2021,6,0.759999990463,22.7000007629,22.5,40.5,8.10000038147,29993.3333333,29710.8666667,7.43000002702,153.0,2.436657289091025,1.99476466183862,1580638,118.47947260079918,31.49958962169798
15955,5285051,2021,7,0.689999997616,17.3000011444,15.6000003815,29.7000007629,6.90000009537,30274.1935484,29879.7419355,7.49000008901,107.300003052,2.170840130281095,2.006692354862142,1580638,118.47947260079918,31.49958962169798
15956,5285051,2021,8,0.77999997139,20.7000007629,21.1000003815,37.2000007629,7.40000009537,30196.7741935,29793.9354839,11.0133330822,130.600006104,2.181631852540472,1.973181217319865,1580638,118.47947260079918,31.49958962169798
15957,5285051,2021,9,0.799999952316,23.7000007629,24.8999996185,45.4000015259,8.9000005722,29900.0,29632.0,7.23500013351,145.400009155,1.994196676456547,1.873783775457178,1580638,118.47947260079918,31.49958962169798
15958,5285051,2021,10,0.77999997139,36.4000015259,30.1000003815,54.7999992371,9.30000019073,29135.483871,28998.1612903,10.8666666349,105.5,1.642045739571597,1.945917918980385,1580638,118.47947260079918,31.49958962169798
15959,5285051,2021,11,0.769999980927,43.9000015259,34.2999992371,68.5,10.6000003815,28333.3333333,28251.4333333,9.40833322207,87.7000045776,2.26739764523342,1.841976594061117,1580638,118.47947260079918,31.49958962169798
15960,5285051,2021,12,0.930000007153,52.4000015259,55.0,86.8000030518,11.8000001907,27722.5806452,27638.2903226,12.2199997107,70.2000045776,10.49182597764322,1.50629723325627,1580638,118.47947260079918,31.49958962169798
15961,5285051,2022,1,0.949999988079,43.2999992371,69.5999984741,90.3000030518,8.80000019073,27540.1290323,27518.3548387,9.80666637421,68.2000045776,1.731787429939052,1.31999802793649,1580638,118.47947260079918,31.49958962169798
15962,5285051,2022,2,0.77999997139,31.6000003815,47.2999992371,65.5,8.5,27518.0357143,27529.6785714,12.7066667875,89.0,1.609670572793465,1.209808863814425,1580638,118.47947260079918,31.49958962169798
15963,5285051,2022,3,0.789999961853,31.5,36.9000015259,71.5999984741,9.80000019073,28292.2580645,28460.8387097,11.6299999555,118.599998474,2.433817362180663,1.80164963193397,1580638,118.47947260079918,31.49958962169798
15964,5285051,2022,4,0.729999959469,26.8999996185,29.3999996185,58.4000015259,10.3000001907,28602.6666667,28843.9666667,9.74999992053,141.800003052,2.394058385435587,1.933990225956862,1580638,118.47947260079918,31.49958962169798
15965,5285051,2022,5,0.769999980927,27.8999996185,29.5,52.7000007629,9.80000019073,29013.5806452,29258.516129,11.6983331839,155.5,2.532078833279205,2.024867887088462,1580638,118.47947260079918,31.49958962169798
15966,5285051,2022,6,0.729999959469,18.3000011444,19.2000007629,34.7999992371,8.0,29748.4666667,29754.9333333,12.4049998919,143.0,2.216278960846895,1.881735570806192,1580638,118.47947260079918,31.49958962169798
15967,5285051,2022,7,0.659999966621,17.6000003815,17.5,31.2000007629,8.19999980927,29996.7419355,29906.3225806,0.0,140.100006104,1.639773798043308,1.450634665813165,1580638,118.47947260079918,31.49958962169798
15968,5285051,2022,8,0.729999959469,19.7000007629,20.5,36.5,7.80000019073,30025.2903226,29962.0645161,10.6083334287,140.100006104,1.67442090634973,1.39497209837006,1580638,118.47947260079918,31.49958962169798
15969,5285051,2022,9,0.729999959469,25.1000003815,23.5,44.7999992371,9.4000005722,29389.5333333,29555.0666667,13.0200001399,141.800003052,1.519360897043937,1.21776065916344,1580638,118.47947260079918,31.49958962169798
15970,5285051,2022,10,0.659999966621,30.7000007629,24.7000007629,46.5,8.10000038147,28709.2903226,28817.2903226,11.3050000668,110.0,1.994196676456547,1.641477754189525,1580638,118.47947260079918,31.49958962169798
15971,5285051,2022,11,0.769999980927,36.4000015259,32.7999992371,52.9000015259,8.30000019073,28503.6333333,28588.5666667,10.0600000223,79.0,2.469032455869157,1.9765891296123,1580638,118.47947260079918,31.49958962169798
15972,5285051,2022,12,0.829999983311,46.9000015259,55.5,89.5,10.3000001907,27544.8387097,27461.483871,10.7183331649,57.7999992371,2.418481756864705,1.882303556188265,1580638,118.47947260079918,31.49958962169798
15973,5285051,2022,12,0.829999983311,46.9000015259,55.5,89.5,10.3000001907,27544.8387097,27461.483871,10.7183331649,57.7999992371,2.418481756864705,1.882303556188265,1580638,118.47947260079918,31.49958962169798
16015,5286921,2022,6,0.649999976158,17.7000007629,18.7000007629,35.6000022888,9.30000019073,29570.4333333,29704.8,7.48833346367,134.800003052,4.354469897553599,3.1910619096576,1609303,118.06448092043118,31.200766082529636
16016,5286921,2022,7,0.629999995232,17.2000007629,17.2000007629,32.9000015259,8.69999980927,29866.8064516,29856.0645161,0.64166667064,132.600006104,4.2970549578912,3.0943630639104,1609303,118.06448092043118,31.200766082529636
16017,5286921,2022,8,0.709999978542,19.1000003815,19.1000003815,37.6000022888,9.4000005722,29937.3225806,29873.3870968,5.34833331903,132.199996948,4.275902085384,3.09738490284,1609303,118.06448092043118,31.200766082529636
16018,5286921,2022,9,0.709999978542,25.5,24.3999996185,48.7000007629,9.60000038147,29527.8,29610.3666667,9.43999987841,146.0,4.306120474679999,3.3965469568704,1609303,118.06448092043118,31.200766082529636
16019,5286921,2022,10,0.649999976158,29.1000003815,25.3999996185,48.7999992371,8.5,28900.6774194,28976.9354839,7.77666650216,110.200004578,4.396775642568,3.4328090240256,1609303,118.06448092043118,31.200766082529636
16020,5286921,2022,11,0.740000009537,31.7000007629,33.1000022888,55.6000022888,8.60000038147,28517.4,28647.7666667,10.5283334454,78.0999984741,4.4390813875824,3.3995687958,1609303,118.06448092043118,31.200766082529636
16023,5287819,2019,1,1.12999999523,42.6000022888,45.9000015259,66.8000030518,9.10000038147,27822.5806452,27742.8225806,6.13999992609,46.2999992371,13.9421326775536,12.5207845825296,1609484,118.85087441944916,28.89968423519221
16024,5287819,2019,2,0.919999957085,22.7000007629,26.7000007629,38.5,5.59999990463,28069.6428571,28195.625,31.1225004196,54.6000022888,13.7547731559368,12.129913856398,1609484,118.85087441944916,28.89968423519221
16025,5287819,2019,3,0.759999990463,29.8999996185,33.7000007629,52.5,9.4000005722,28403.2258065,28563.5967742,21.009999752,89.5999984741,12.43679583146,10.8410095611376,1609484,118.85087441944916,28.89968423519221
16026,5287819,2019,4,0.759999990463,28.3999996185,28.8999996185,47.6000022888,10.6999998093,28960.0,29067.5166667,22.7075002193,97.4000015259,13.9582843604516,12.1396048661368,1609484,118.85087441944916,28.89968423519221
16027,5287819,2019,5,0.659999966621,23.5,30.2000007629,53.9000015259,10.1999998093,29262.9032258,29404.3064516,19.3999998569,129.199996948,12.6887620846688,11.1091274972444,1609484,118.85087441944916,28.89968423519221
16028,5287819,2019,6,0.680000007153,17.0,21.3999996185,36.0,8.4000005722,29688.3333333,29689.8,18.6824996471,107.5,14.584969656894,10.7311781174312,1609484,118.85087441944916,28.89968423519221
16029,5287819,2019,7,0.639999985695,16.0,17.2000007629,30.6000003815,8.30000019073,30141.9354839,29904.7580645,18.8849999905,98.7000045776,11.1188185069832,9.5327232463996,1609484,118.85087441944916,28.89968423519221
16030,5287819,2019,8,0.659999966621,18.5,21.6000003815,38.9000015259,9.19999980927,30203.2258065,30024.4354839,25.9724993706,123.599998474,12.8341272307508,11.0122173998564,1609484,118.85087441944916,28.89968423519221
16031,5287819,2019,9,0.759999990463,25.0,31.3000011444,51.5,10.0,29765.0,29752.8333333,22.0224997997,154.5,13.8484529167452,12.1169925100796,1609484,118.85087441944916,28.89968423519221
16032,5287819,2019,10,0.810000002384,30.8000011444,38.7999992371,65.5999984741,10.9000005722,29151.6129032,29249.5,23.6425001621,124.800003052,12.985953049992,11.3352510578164,1609484,118.85087441944916,28.89968423519221
16033,5287819,2019,11,0.77999997139,40.2999992371,39.2000007629,70.3000030518,11.9000005722,28440.0,28596.9833333,27.6400003433,93.3000030518,15.10182350963,12.4303351583008,1609484,118.85087441944916,28.89968423519221
16034,5287819,2019,12,1.00999999046,46.7000007629,40.4000015259,62.7999992371,12.9000005722,28016.1290323,27961.5967742,24.2049999237,59.7999992371,13.2799136787356,11.5904476476048,1609484,118.85087441944916,28.89968423519221
16035,5287819,2020,1,0.949999988079,30.0,30.6000003815,41.6000022888,7.5,27980.6451613,27948.6129032,17.8274993896,56.7000007629,10.4630601813244,9.2646053102928,1609484,118.85087441944916,28.89968423519221
16036,5287819,2020,2,0.709999978542,16.8000011444,25.7000007629,35.4000015259,6.5,28198.2758621,28128.1034483,25.0249998569,78.3000030518,11.8294925544952,10.2498579670708,1609484,118.85087441944916,28.89968423519221
16037,5287819,2020,3,0.769999980927,29.6000003815,25.0,40.1000022888,8.60000038147,28545.1612903,28513.0322581,28.4149999619,81.90000152589998,12.9471890110368,11.3610937504532,1609484,118.85087441944916,28.89968423519221
