Spec,Variant,city,n_plants,n_obs,R2_log,Spearman,R2_demeaned,R2_log_relev
M_base (lat/lon),Demeaned,Shijiazhuang,1.0,32.0,,0.9872,0.9556,0.9556
M_base (lat/lon),Demeaned,Shaoguan,1.0,45.0,,0.9843,0.7903,0.7903
M_base (lat/lon),Demeaned,Rizhao,1.0,44.0,,0.7311,-0.1372,-0.1372
M_base (lat/lon),Demeaned,Taiyuan,1.0,45.0,,0.7449,-0.5656,-0.5656
M_base (lat/lon),Demeaned,Tongling,1.0,44.0,,0.8947,0.7691,0.7691
M_base (lat/lon),Demeaned,Weifang,1.0,44.0,,0.919,0.4893,0.4893
M_base (lat/lon),Demeaned,Tongchun District,1.0,45.0,,0.942,0.6721,0.6721
M_base (lat/lon),Demeaned,Tonghua,1.0,45.0,,0.9917,0.9738,0.9738
M_base (lat/lon),Demeaned,Wuxi,1.0,45.0,,0.4198,-0.7888,-0.7888
M_base (lat/lon),Demeaned,Wuhu,1.0,6.0,,-0.3143,-7.3642,-7.3642
M_base (lat/lon),Demeaned,Xinyang,1.0,45.0,,0.9054,0.8651,0.8651
M_base (lat/lon),Demeaned,Xining,1.0,44.0,,0.9174,0.7381,0.7381
M_base (lat/lon),Demeaned,Yancheng,1.0,45.0,,0.9953,0.9485,0.9485
M_base (lat/lon),Demeaned,Yichun,1.0,45.0,,0.9252,0.9104,0.9104
M_base (lat/lon),Demeaned,Yingkou,1.0,45.0,,0.9822,0.9608,0.9608
M_base (lat/lon),Demeaned,Yuncheng,1.0,28.0,,0.965,0.9573,0.9573
M3 (dist+port),Raw,Tangshan,6.0,255.0,-1.2351,-0.148,,
M3 (dist+port),Raw,Handan,5.0,224.0,-3.5682,-0.249,,
M3 (dist+port),Raw,Linfen,3.0,118.0,-0.2353,-0.0251,,
M3 (dist+port),Raw,Suzhou,2.0,90.0,-1.246,-0.5929,,
M3 (dist+port),Raw,Qinhuangdao,2.0,75.0,-1.3897,0.1684,,
M3 (dist+port),Raw,Jinan,2.0,90.0,-2.2586,0.1229,,
M3 (dist+port),Raw,Yuxi,2.0,90.0,-2.4473,-0.1436,,
M3 (dist+port),Raw,Xingtai,2.0,71.0,0.1024,0.4675,,
M3 (dist+port),Raw,Chaoyang,1.0,45.0,-2.6803,0.5879,,
M3 (dist+port),Raw,Changzhi,1.0,45.0,-22.6047,0.0904,,
M3 (dist+port),Raw,Dongli District,1.0,45.0,-0.6884,0.3207,,
M3 (dist+port),Raw,Ezhou,1.0,45.0,-7.4433,0.3703,,
M3 (dist+port),Raw,Fangchenggang,1.0,32.0,-51.777,0.3207,,
M3 (dist+port),Raw,Chizhou,1.0,43.0,-3.7399,-0.2937,,
M3 (dist+port),Raw,Hanzhong City,1.0,43.0,-6.7578,0.0645,,
M3 (dist+port),Raw,Hejin,1.0,45.0,-98.3672,0.5152,,
M3 (dist+port),Raw,Dalian,1.0,45.0,-13.9947,-0.0105,,
M3 (dist+port),Raw,Chengde,1.0,45.0,-6.6026,0.0383,,
M3 (dist+port),Raw,Benxi,1.0,45.0,-45.333,0.0744,,
M3 (dist+port),Raw,Changshou,1.0,45.0,-1.4555,0.2378,,
M3 (dist+port),Raw,Anyang,1.0,45.0,-0.2402,0.382,,
M3 (dist+port),Raw,Baoshan,1.0,45.0,-97.4997,0.2888,,
M3 (dist+port),Raw,Lengshuijiang,1.0,45.0,-14.8651,0.2011,,
M3 (dist+port),Raw,Lanzhou,1.0,21.0,-2.1165,0.2183,,
M3 (dist+port),Raw,Jiujiang,1.0,45.0,-120.1066,0.0537,,
M3 (dist+port),Raw,Jiangyin,1.0,45.0,-19.885,0.1333,,
M3 (dist+port),Raw,Huai'an,1.0,45.0,-11.0134,0.2984,,
M3 (dist+port),Raw,Huangshi,1.0,45.0,-2.9711,0.3943,,
M3 (dist+port),Raw,Lvliang,1.0,45.0,-7.8482,0.1978,,
M3 (dist+port),Raw,Lianyungang,1.0,45.0,-0.2086,0.3519,,
M3 (dist+port),Raw,Nanjing,1.0,45.0,-74.8315,0.224,,
